Unnamed: 0,RN (alteragao),Unnamed: 2,Unnamed: 3,e,o,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,PROCEDIMENTO,VIGENCIA,Unnamed: 4,Unnamed: 5,AMB,HCO,T,o],| o,oo,0,VIGENCIA (alteragao),=,I,Unnamed: 10,PROCEDIMENTO (alteragao),Unnamed: 1,==,=.1,PROCEDIMENT!,RN VIGENCIA (alteragao),(alteragao),AMB HCO,] o =,[,],RN (alteragao) i,o.1,AMB o,e o,PAC,T.1,HCO 0,i,3,RN (alteragao) 0,AMB e,CAPITULO,S,N,LN3NIG300d,(oeesaye) NY,VIONIOIA,anv,OH,|,m |,OH o,vd
ACONSELHAMENTO GENETICO,,,,AMB HCO,HSO,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATENDIMENTO/ACOMPANHAMENTO EM HOSPITAL-DIA PSIQUIATRICO (COM DIRETRIZ DE UTILIZAGAO),,,,HCO,HSO,109,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ATENDIMENTO INTEGRAL AO RECEM-NASCIDO (SALA DE PARTO, BERGARIO E UTI)",,,,HCO,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATENDIMENTO MEDICO DO INTENSIVISTA EM UTI GERAL OU PEDIATRICA,,,,HCO,HSO,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATENDIMENTO PEDIATRICO A GESTANTES (32 TRIMESTRE),,,,AMB HCO,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATIVIDADE EDUCACIONAL PARA PLANEJAMENTO FAMILIAR,,,,AMB,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATIVIDADE EDUCATIVA EM SAUDE BUCAL,,,oD,,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATIVIDADE EDUCATIVA EM ODONTOLOGIA PARA PAIS E/OU CUIDADORES DE PACIENTES COM NECESSIDADES ESPECIAIS,,,oD,,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONDICIONAMENTO EM ODONTOLOGIA (COM DIRETRIZ DE UTILIZAGAO),,,oD,,,86,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTABILIZAGAO DE PACIENTE POR MEIO DE CONTENGAO FiSICA E/OU MECANICA,,,oD,,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSULTA DE ACONSELHAMENTO PARA PLANEJ AMENTO FAMILIAR,,,,AMB,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSULTA COM ENFERMEIRO OBSTETRA OU OBSTETRIZ (COM DIRETRIZ DE UTILIZAGAO),,,,AMB HCO,,— |,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSULTA/AVALIAGAO COM FISIOTERAPEUTA,541/2022,01/08/2022,,AMB,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
